Code,Academic Year,Degree,same_as_wikidata_degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
2501634,2024-2025,geology,https://wikidata.org/entity/Q1069,ee8eb870055bd031d2eba68896a0c6bc,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2502390,2024-2025,business school,https://wikidata.org/entity/Q1143635,fa76fc56659604d5e63054ab597744f0,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2502026,2024-2025,Gestión y Marketing Empresarial,,8f40db8427d664cf5f37da6805f62d1f,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501395,2024-2025,history of art,https://wikidata.org/entity/Q50641,aef732709c2ae8210cd63162a62482df,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2501633,2024-2025,Historia,,093499dcb16400e1ae810550ef9388ea,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2502028,2024-2025,environmental engineering,https://wikidata.org/entity/Q146326,fa6fe7702df69bf8784d944e0df512a7,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502030,2024-2025,civil engineering,https://wikidata.org/entity/Q77590,2ab17099cce377c06821963ff4c829a7,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502551,2024-2025,Ingeniería de Energías Renovables,,a7dfebb51c045f62dd9609ccc6a9d0a7,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2501643,2024-2025,Ingeniería de Tecnología de Minas y Energía,,a5ade9ad2c3b0d42ded6a526cd307716,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502391,2024-2025,electrical engineering,https://wikidata.org/entity/Q43035,0f0fdf3a819deb153fa93bd248dcb25f,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
