Academic Year,Centre Code,Faculty,Same_as_Wikidata_faculty,Faculty ID,University,Same_as_Wikidata_University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Same_as_Wikidata_Degree,Degree ID,Knowledge Area,Knowledge Area ID,matriculados,nota_5_7,nota_7_9,nota_9_12,nota_12_14
2024-2025,30013645,faculty of economics and business administration,https://www.wikidata.org/entity/Q11606478,ef2db1984f3433e9610f84c2b66e0456,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2503585,sociology,https://www.wikidata.org/entity/Q21201,21b1ebb568ca534fd0ee211378817893,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,20,6,9,5,0
2024-2025,30011961,Facultad de Educación (Universidad Nacional Mayor de San Marcos),https://www.wikidata.org/entity/Q5647268,5afcf07f7c18034598dc5881a5d380e3,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500381,social pedagogy,https://www.wikidata.org/entity/Q1572493,a35fc06a8d5f672c0b6068227a17a9d9,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,119,14,57,44,3
2024-2025,30011961,Facultad de Educación (Universidad Nacional Mayor de San Marcos),https://www.wikidata.org/entity/Q5647268,5afcf07f7c18034598dc5881a5d380e3,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500382,pedagogy,https://www.wikidata.org/entity/Q7922,19c644378aacb0445c03aba125adbab2,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,77,0,7,65,3
2024-2025,30011405,Facultad de Veterinaria,https://www.wikidata.org/entity/Q5855167,c32208051f1829034017263f4b4d204d,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500988,veterinary medicine,https://www.wikidata.org/entity/Q170201,5f03f446ddf67e7ec0f7f92a04f31ce1,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,87,0,0,28,57
2024-2025,30011958,Facultad de Matemáticas,https://www.wikidata.org/entity/Q97183329,71bf39f017bb5fe70ea279509a39307f,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Doble Grado,fba30e9ec1935ca7d36277ba76dddbba,7001133,chemical engineering,https://www.wikidata.org/entity/Q83588,e67eea9bac513055c03fd30cff256c7c,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,19,0,0,0,18
2024-2025,30011715,Facultad de Informática,https://www.wikidata.org/entity/Q8960724,de53397f361c08b30696e7a678f3c031,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500494,computer engineering,https://www.wikidata.org/entity/Q428691,6b4cbca7b963a333834a3e5bcbd15590,Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,235,0,0,160,67
2024-2025,30008224,faculty of law,https://www.wikidata.org/entity/Q3488547,288d0da066d511cc53b58999dd5950b6,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Doble Grado,fba30e9ec1935ca7d36277ba76dddbba,7000972,Inspector General Lic. Fernando Martínez,https://www.wikidata.org/entity/Q126168119,96b1b8328b5c0a33fefeb03ac8786125,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,23,0,0,15,7
2024-2025,30008236,faculty of humanities,https://www.wikidata.org/entity/Q12011063,fe7c0e584bd8d76dcb030562f0171861,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500370,classical philology,https://www.wikidata.org/entity/Q495527,fb74e408a98f78dd85be5735c2eb2c80,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,36,1,4,17,14
2024-2025,30008224,faculty of law,https://www.wikidata.org/entity/Q3488547,288d0da066d511cc53b58999dd5950b6,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500804,"Ciencias Políticas, Gobierno y Administración Pública",,d7565cedbebc7d51fb1f7b8547654493,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,38,2,19,14,2
2024-2025,30008236,faculty of humanities,https://www.wikidata.org/entity/Q12011063,fe7c0e584bd8d76dcb030562f0171861,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504155,Ciencia y Tecnología Geográficas,,68e88771cb194ac7fe7675821e89017b,Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,11,1,6,3,1
2024-2025,30011961,Facultad de Educación (Universidad Nacional Mayor de San Marcos),https://www.wikidata.org/entity/Q5647268,5afcf07f7c18034598dc5881a5d380e3,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500379,Informática en la educación infantil,https://www.wikidata.org/entity/Q6448184,e64d5eb96d843cd36cd0d930833c692d,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,136,0,0,108,23
2024-2025,30011727,Facultad de Trabajo Social,https://www.wikidata.org/entity/Q97499546,92ececb5ef00e2cadfc2d1b763f9b723,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500806,forensic social work,https://www.wikidata.org/entity/Q5468734,54f5fd45cff91966228ef64e662436d1,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,126,23,58,42,0
2024-2025,30011545,Isen Formación Universitaria,,59efebe22173b71d92ece49fc5579035,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500379,Educación Infantil (Cartagena),,13234156615c657ef372a5c8692e416f,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,32,3,20,8,1
2024-2025,30008236,faculty of humanities,https://www.wikidata.org/entity/Q12011063,fe7c0e584bd8d76dcb030562f0171861,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500374,Spanish philology,https://www.wikidata.org/entity/Q3381164,59d5c816546a46892da609bb2cfba1c8,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,62,3,9,23,27
2024-2025,30008236,faculty of humanities,https://www.wikidata.org/entity/Q12011063,fe7c0e584bd8d76dcb030562f0171861,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500373,history of art,https://www.wikidata.org/entity/Q50641,13f2c61003b56209b1eea32eaeae67de,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,42,2,6,25,9
2024-2025,30008236,faculty of humanities,https://www.wikidata.org/entity/Q12011063,fe7c0e584bd8d76dcb030562f0171861,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500516,history,https://www.wikidata.org/entity/Q309,6995d7e7041177504628d9087809c437,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,106,17,17,52,17
