Academic Year,UniversityID,DegreeID,Degree,sameAsWikidata,sameAs,Ambit-id,AcademicLevelId,Credits,Offered Credits
2024-25,a62a164f781be26dd225dfda47b78c12,a07fd94e64750913f82adfb8599e24bb,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,270
2024-25,a62a164f781be26dd225dfda47b78c12,3a8aa47b6b1c1e5aa2bcd01f24ced891,INGENIERIA MECANICA,mechanical engineering,https://www.wikidata.org/wiki/Q101333,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,282
2024-25,a62a164f781be26dd225dfda47b78c12,48911faba98caae5186106f6b70fc32f,CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,food technology,https://www.wikidata.org/wiki/Q1039642,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,258
2024-25,a62a164f781be26dd225dfda47b78c12,3cb85806f8b41509279bbfc6aba08107,INGENIERIA QUIMICA,chemical engineering,https://www.wikidata.org/wiki/Q83588,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,282
2024-25,a62a164f781be26dd225dfda47b78c12,114768b1b9684c363fc152fb7c16d8b0,QUIMICA,chemistry,https://www.wikidata.org/wiki/Q2329,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,264
2024-25,a62a164f781be26dd225dfda47b78c12,1c6ef536a721e6a27f674a015578b9fd,DERECHO-ADMINISTRACION Y DIRECCION DE EMPRESAS,DERECHO-ADMINISTRACION Y DIRECCION DE EMPRESAS,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,360,256.5
2024-25,a62a164f781be26dd225dfda47b78c12,402c2c235be6d27bd0b3641e7c50ae7f,ADMINISTRACION Y DIRECCION DE EMPRESAS,business administration and management,https://www.wikidata.org/wiki/Q8188423,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,322.5
2024-25,a62a164f781be26dd225dfda47b78c12,4a3a00a6a21ec6c225c470b015de43c1,DERECHO,law,https://www.wikidata.org/wiki/Q7748,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,300
2024-25,a62a164f781be26dd225dfda47b78c12,c3bf0872c66988b882d13d23fd540acc,RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,264
2024-25,a62a164f781be26dd225dfda47b78c12,6934eace5195aa66924eb7dfb980e09d,EDUCACION PRIMARIA-EDUCACION INFANTIL,early childhood education,https://www.wikidata.org/wiki/Q1472221,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,363,453
